Senaryo,Metrik 1,Metrik 2,Metrik 3
Bozucu Etki,Maksimum sapma = 0.1251 m/s,Toparlanma süresi = 0.7400 s,Son hız = 0.9967 m/s
Referans Değişimi,Yeni yerleşme süresi = 1.6400 s,Alttan taşma = 0.0546 %,Son hız = 0.4997 m/s
